Reference,Quantity,Description,Suggested part/package,Populate,Notes
L1,1,Two-layer 30-turn-per-layer pickup coil,PCB feature,Fabricated,"No assembly part; preserve both-layer no-pour/no-thieving keepout"
C1,1,4.7uF 10V X7R capacitor,1206,Yes,Audio DC-block and low-frequency coupling
R1,1,4.99k 1% resistor,0805,Yes,CTIA microphone detection load
R2,1,0R resistor,0805,Yes,Required series connection between pickup layers
J2,1,Two-wire audio pigtail,5.0mm-centre wire pads,Manual,Short twisted or shielded lead with strain relief
EPD1,1,3.52-inch raw e-paper panel,Waveshare SKU 22609,Optional,"Only after the July 16 off-board programming and mechanical gate"
J1,1,24-position 0.5mm dual-contact low-profile FPC ZIF,"Candidate Hirose FH34SRJ-24S-0.5SH(50) or (99)",Optional,"Front-side unpowered flex parking connector only; rotate 270deg/right-facing with mouth x~5.50 and inserted tail tip x~4.00 for 1.50mm nominal insertion; custom pads follow Waveshare panel numbering and mirror the Hirose terminal sequence; physically verify orientation and 3.65+/-0.30mm straight-tail reach or omit"
J3 Q1 L2 D1-D3 R3-R13 C2-C15,0,Custom on-board e-paper support circuit,Existing PCB footprints,No,"Emergency carrier-only fallback BOM; not the current dual-track production build"
NAME_INSERT,1,Matte printed name and role card,84.7x54.4mm nominal,Manual,Default production identity surface and e-paper fallback
PROTECTOR,1,0.5mm clear hard-coated polycarbonate lens,Approx. 88x58mm,Manual,Protects either insert or raw glass without mounting holes
BEZEL,1,Black PETG instrument-viewport spacer/bezel,Custom cut,Manual,"Perimeter support only; no magnets or steel"
SERVICE-SPINE,1,Opaque removable black left service spine,3D-printed PETG part,Manual,"All-plastic spine keyed to bezel; covers front J1 and straight FPC while preserving access; no magnets or steel"
ADHESIVE,1,Thin perimeter transfer-adhesive frame,0.05-0.10mm,Manual,"Keep out of display active area straight-FPC path J1 latch and service-spine joint"
KAPTON,1,Removable polyimide tape,Generic,Manual,"Prototype retention or contact insulation only; do not cover J1 latch or bend the FPC"
LANYARD,1,Single-hook lanyard or cord loop,Generic,Manual,Verify fit through the centred 6mm circular hole and comfort on a finished sample
